inventor_id,name,country
fl:an_ln:scharenberg-1,Andrew M. Scharenberg,
fl:an_ln:schlies-1,Anthony J. Schlies,
fl:an_ln:schoppel-1,Andreas I. Schoppel,
fl:an_ln:schorr-1,Anne Keatley Schorr,
fl:an_ln:schulz-5,Anatol Schulz,
fl:an_ln:seidel-3,Andreas Seidel,
fl:an_ln:senokosov-1,Andrei Evgenievich Senokosov,
fl:an_ln:sidhu-1,Angad Sidhu,
fl:an_ln:signori-1,Andrea Signori,
fl:an_ln:silfverstrand-1,Anders Silfverstrand,
fl:an_ln:stella-8,Anthony R. Stella,
fl:an_ln:sundstrom-1,Andrew Sundstrom,
fl:an_ln:tang-15,Andrew T. K. Tang,US
fl:an_ln:tomalareyes-1,Angel E. Tomala-Reyes,US
fl:an_ln:veliyankaramadam-1,Anil Veliyankaramadam,
fl:an_ln:venot-1,Andre P. Venot,
fl:an_ln:verenchikov-1,Anatoly N. Verenchikov,
fl:an_ln:vilgiate-1,Anthony Vilgiate,
fl:an_ln:vilkov-1,Andrey N. Vilkov,
fl:an_ln:wei-12,Andy Chi-Hung Wei,
fl:an_ln:zentenoramirez-1,Antonio Zenteno Ramirez,
fl:ar_ln:ahmadivand-1,Arash Ahmadivand,
fl:ar_ln:basmajian-1,Arin Basmajian,
fl:ar_ln:bhandari-2,Archna Bhandari,US
fl:ar_ln:bhattacharjee-6,Arindam Bhattacharjee,
fl:ar_ln:erickson-1,Arnold R. Erickson,US
fl:ar_ln:finch-1,Arden D. Finch,
fl:ar_ln:harms-1,Arthur E. Harms,US
fl:ar_ln:hekimian-1,Armand Hekimian,
fl:ar_ln:henry-2,Arnold W. Henry,
fl:ar_ln:holbrook-2,Arthur Martin Holbrook,
fl:ar_ln:joslin-1,Arnold L. Joslin,
fl:ar_ln:judzis-1,Arvids Judzis,
fl:ar_ln:karthikeyan-2,Arvind S. Karthikeyan,
fl:ar_ln:lelievre-1,Armel Le Lievre,
fl:ar_ln:letiran-1,Arnaud LeTiran,US
fl:ar_ln:oprins-1,Arno Johannes Maria Oprins,
